stem,output,morph
daʁaʃ,tidʁoʃ,FUTURE+SECOND+M+SINGULAR+COMPLETE
daʁaʃ,tidʁoʃ,FUTURE+SECOND+M+SINGULAR+MISSING
daʁaʃ,jidʁəʃu,FUTURE+THIRD+M+PLURAL+COMPLETE
daʁaʃ,jidʁoʃ,FUTURE+THIRD+M+SINGULAR+COMPLETE
daʁaʃ,jidʁoʃ,FUTURE+THIRD+M+SINGULAR+MISSING
daʁaΧ,tidʁəΧu,FUTURE+SECOND+M+PLURAL+COMPLETE
daʁaΧ,tidʁoΧ,FUTURE+SECOND+M+SINGULAR+COMPLETE
daʁaΧ,tidʁoΧ,FUTURE+SECOND+M+SINGULAR+MISSING
daʁaΧ,jidʁəΧu,FUTURE+THIRD+M+PLURAL+COMPLETE
daʁaΧ,jidʁoΧ,FUTURE+THIRD+M+SINGULAR+COMPLETE
daʁaΧ,jidʁoΧ,FUTURE+THIRD+M+SINGULAR+MISSING
davaq,tidbəqu,FUTURE+SECOND+M+PLURAL+COMPLETE
davaq,tidbaq,FUTURE+SECOND+M+SINGULAR+COMPLETE
davaq,jidbəqu,FUTURE+THIRD+M+PLURAL+COMPLETE
davaq,jidbaq,FUTURE+THIRD+M+SINGULAR+COMPLETE
daʔag,tidʔagu,FUTURE+SECOND+M+PLURAL+COMPLETE
daʔag,tidʔag,FUTURE+SECOND+M+SINGULAR+COMPLETE
daʔag,jidʔagu,FUTURE+THIRD+M+PLURAL+COMPLETE
daʔag,jidʔag,FUTURE+THIRD+M+SINGULAR+COMPLETE
daʔav,tidʔavu,FUTURE+SECOND+M+PLURAL+COMPLETE
daʔav,tidʔav,FUTURE+SECOND+M+SINGULAR+COMPLETE
daʔav,jidʔavu,FUTURE+THIRD+M+PLURAL+COMPLETE
daʔav,jidʔav,FUTURE+THIRD+M+SINGULAR+COMPLETE
daʕaΧ,tidʕaΧu,FUTURE+SECOND+M+PLURAL+COMPLETE
daʕaΧ,tidʕaΧ,FUTURE+SECOND+M+SINGULAR+COMPLETE
daʕaΧ,jidʕaΧu,FUTURE+THIRD+M+PLURAL+COMPLETE
daʕaΧ,jidʕaΧ,FUTURE+THIRD+M+SINGULAR+COMPLETE
gadal,tigdəlu,FUTURE+SECOND+M+PLURAL+COMPLETE
gadal,tigdal,FUTURE+SECOND+M+SINGULAR+COMPLETE
gadal,jigdəlu,FUTURE+THIRD+M+PLURAL+COMPLETE
gadal,jigdal,FUTURE+THIRD+M+SINGULAR+COMPLETE
gadaʁ,tigdəʁu,FUTURE+SECOND+M+PLURAL+COMPLETE
gadaʁ,tigdoʁ,FUTURE+SECOND+M+SINGULAR+COMPLETE
gadaʁ,tigdoʁ,FUTURE+SECOND+M+SINGULAR+MISSING
gadaʁ,jigdəʁu,FUTURE+THIRD+M+PLURAL+COMPLETE
gadaʁ,jigdoʁ,FUTURE+THIRD+M+SINGULAR+COMPLETE
gadaʁ,jigdoʁ,FUTURE+THIRD+M+SINGULAR+MISSING
gadaʃ,tigdəʃu,FUTURE+SECOND+M+PLURAL+COMPLETE
gadaʃ,tigdoʃ,FUTURE+SECOND+M+SINGULAR+COMPLETE
gadaʃ,tigdoʃ,FUTURE+SECOND+M+SINGULAR+MISSING
gadaʃ,jigdəʃu,FUTURE+THIRD+M+PLURAL+COMPLETE
gadaʃ,jigdoʃ,FUTURE+THIRD+M+SINGULAR+COMPLETE
gadaʃ,jigdoʃ,FUTURE+THIRD+M+SINGULAR+MISSING
gadaʕ,tigdəʕu,FUTURE+SECOND+M+PLURAL+COMPLETE
gadaʕ,tigdaʕ,FUTURE+SECOND+M+SINGULAR+COMPLETE
gadaʕ,jigdəʕu,FUTURE+THIRD+M+PLURAL+COMPLETE
gadaʕ,jigdaʕ,FUTURE+THIRD+M+SINGULAR+COMPLETE
gaħan,tigħanu,FUTURE+SECOND+M+PLURAL+COMPLETE
gaħan,tigħan,FUTURE+SECOND+M+SINGULAR+COMPLETE
gaħan,jigħanu,FUTURE+THIRD+M+PLURAL+COMPLETE
gaħan,jigħan,FUTURE+THIRD+M+SINGULAR+COMPLETE
gahaʁ,tighaʁu,FUTURE+SECOND+M+PLURAL+COMPLETE
gahaʁ,tighaʁ,FUTURE+SECOND+M+SINGULAR+COMPLETE
gahaʁ,jighaʁu,FUTURE+THIRD+M+PLURAL+COMPLETE
gahaʁ,jighaʁ,FUTURE+THIRD+M+SINGULAR+COMPLETE
galal,tigləlu,FUTURE+SECOND+M+PLURAL+COMPLETE
galal,tiglol,FUTURE+SECOND+M+SINGULAR+COMPLETE
galal,tiglol,FUTURE+SECOND+M+SINGULAR+MISSING
galal,jigləlu,FUTURE+THIRD+M+PLURAL+COMPLETE
galal,jiglol,FUTURE+THIRD+M+SINGULAR+COMPLETE
galal,jiglol,FUTURE+THIRD+M+SINGULAR+MISSING
galaʃ,tigləʃu,FUTURE+SECOND+M+PLURAL+COMPLETE
galaʃ,tigloʃ,FUTURE+SECOND+M+SINGULAR+COMPLETE
galaʃ,tigloʃ,FUTURE+SECOND+M+SINGULAR+MISSING
galaʃ,jigləʃu,FUTURE+THIRD+M+PLURAL+COMPLETE
galaʃ,jigloʃ,FUTURE+THIRD+M+SINGULAR+COMPLETE
galaʃ,jigloʃ,FUTURE+THIRD+M+SINGULAR+MISSING
gamal,tigməlu,FUTURE+SECOND+M+PLURAL+COMPLETE
gamal,tigmol,FUTURE+SECOND+M+SINGULAR+COMPLETE
gamal,tigmol,FUTURE+SECOND+M+SINGULAR+MISSING
gamal,jigməlu,FUTURE+THIRD+M+PLURAL+COMPLETE
gamal,jigmol,FUTURE+THIRD+M+SINGULAR+COMPLETE
gamal,jigmol,FUTURE+THIRD+M+SINGULAR+MISSING
gamaʁ,tigməʁu,FUTURE+SECOND+M+PLURAL+COMPLETE
gamaʁ,tigmoʁ,FUTURE+SECOND+M+SINGULAR+COMPLETE
gamaʁ,tigmoʁ,FUTURE+SECOND+M+SINGULAR+MISSING
gamaʁ,jigməʁu,FUTURE+THIRD+M+PLURAL+COMPLETE
gamaʁ,jigmoʁ,FUTURE+THIRD+M+SINGULAR+COMPLETE
gamaʁ,jigmoʁ,FUTURE+THIRD+M+SINGULAR+MISSING
gamaʔ,tigməʔu,FUTURE+SECOND+M+PLURAL+COMPLETE
gamaʔ,tigmaʔ,FUTURE+SECOND+M+SINGULAR+COMPLETE
gamaʔ,jigməʔu,FUTURE+THIRD+M+PLURAL+COMPLETE
gamaʔ,jigmaʔ,FUTURE+THIRD+M+SINGULAR+COMPLETE
gamaʕ,tigməʕu,FUTURE+SECOND+M+PLURAL+COMPLETE
gamaʕ,tigmaʕ,FUTURE+SECOND+M+SINGULAR+COMPLETE
gamaʕ,jigməʕu,FUTURE+THIRD+M+PLURAL+COMPLETE
gamaʕ,jigmaʕ,FUTURE+THIRD+M+SINGULAR+COMPLETE
ganaħ,tignəħu,FUTURE+SECOND+M+PLURAL+COMPLETE
ganaħ,tignaħ,FUTURE+SECOND+M+SINGULAR+COMPLETE
ganaħ,jignəħu,FUTURE+THIRD+M+PLURAL+COMPLETE
ganaħ,jignaħ,FUTURE+THIRD+M+SINGULAR+COMPLETE
ganav,tignəvu,FUTURE+SECOND+M+PLURAL+COMPLETE
ganav,tignov,FUTURE+SECOND+M+SINGULAR+COMPLETE
ganav,tignov,FUTURE+SECOND+M+SINGULAR+MISSING
ganav,jignəvu,FUTURE+THIRD+M+PLURAL+COMPLETE
ganav,jignov,FUTURE+THIRD+M+SINGULAR+COMPLETE
ganav,jignov,FUTURE+THIRD+M+SINGULAR+MISSING
ganaz,tignəzu,FUTURE+SECOND+M+PLURAL+COMPLETE
ganaz,tignoz,FUTURE+SECOND+M+SINGULAR+COMPLETE
ganaz,tignoz,FUTURE+SECOND+M+SINGULAR+MISSING
ganaz,jignəzu,FUTURE+THIRD+M+PLURAL+COMPLETE
ganaz,jignoz,FUTURE+THIRD+M+SINGULAR+COMPLETE
ganaz,jignoz,FUTURE+THIRD+M+SINGULAR+MISSING
gaʁaf,tigʁəfu,FUTURE+SECOND+M+PLURAL+COMPLETE
gaʁaf,tigʁof,FUTURE+SECOND+M+SINGULAR+COMPLETE
gaʁaf,tigʁof,FUTURE+SECOND+M+SINGULAR+MISSING
gaʁaf,jigʁəfu,FUTURE+THIRD+M+PLURAL+COMPLETE
gaʁaf,jigʁof,FUTURE+THIRD+M+SINGULAR+COMPLETE
gaʁaf,jigʁof,FUTURE+THIRD+M+SINGULAR+MISSING
gaʁam,tigʁəmu,FUTURE+SECOND+M+PLURAL+COMPLETE
gaʁam,tigʁom,FUTURE+SECOND+M+SINGULAR+COMPLETE
gaʁam,tigʁom,FUTURE+SECOND+M+SINGULAR+MISSING
gaʁam,jigʁəmu,FUTURE+THIRD+M+PLURAL+COMPLETE
gaʁam,jigʁom,FUTURE+THIRD+M+SINGULAR+COMPLETE
gaʁam,jigʁom,FUTURE+THIRD+M+SINGULAR+MISSING
gaʁaʁ,tigʁəʁu,FUTURE+SECOND+M+PLURAL+COMPLETE
gaʁaʁ,tigʁoʁ,FUTURE+SECOND+M+SINGULAR+COMPLETE
gaʁaʁ,tigʁoʁ,FUTURE+SECOND+M+SINGULAR+MISSING
gaʁaʁ,jigʁəʁu,FUTURE+THIRD+M+PLURAL+COMPLETE
gaʁaʁ,jigʁoʁ,FUTURE+THIRD+M+SINGULAR+COMPLETE
gaʁaʁ,jigʁoʁ,FUTURE+THIRD+M+SINGULAR+MISSING
gaʁas,tigʁəsu,FUTURE+SECOND+M+PLURAL+COMPLETE
gaʁas,tigʁos,FUTURE+SECOND+M+SINGULAR+COMPLETE
gaʁas,tigʁos,FUTURE+SECOND+M+SINGULAR+MISSING
gaʁas,jigʁəsu,FUTURE+THIRD+M+PLURAL+COMPLETE
gaʁas,jigʁos,FUTURE+THIRD+M+SINGULAR+COMPLETE
gaʁas,jigʁos,FUTURE+THIRD+M+SINGULAR+MISSING
gaʁav,tigʁəvu,FUTURE+SECOND+M+PLURAL+COMPLETE
gaʁav,tigʁov,FUTURE+SECOND+M+SINGULAR+COMPLETE
gaʁav,tigʁov,FUTURE+SECOND+M+SINGULAR+MISSING
gaʁav,jigʁəvu,FUTURE+THIRD+M+PLURAL+COMPLETE
gaʁav,jigʁov,FUTURE+THIRD+M+SINGULAR+COMPLETE
gaʁav,jigʁov,FUTURE+THIRD+M+SINGULAR+MISSING
gaʁaʕ,tigʁəʕu,FUTURE+SECOND+M+PLURAL+COMPLETE
gaʁaʕ,tigʁaʕ,FUTURE+SECOND+M+SINGULAR+COMPLETE
gaʁaʕ,jigʁəʕu,FUTURE+THIRD+M+PLURAL+COMPLETE
gaʁaʕ,jigʁaʕ,FUTURE+THIRD+M+SINGULAR+COMPLETE
gasas,tigsəsu,FUTURE+SECOND+M+PLURAL+COMPLETE
gasas,tigsos,FUTURE+SECOND+M+SINGULAR+COMPLETE
gasas,tigsos,FUTURE+SECOND+M+SINGULAR+MISSING
gasas,jigsəsu,FUTURE+THIRD+M+PLURAL+COMPLETE
gasas,jigsos,FUTURE+THIRD+M+SINGULAR+COMPLETE
gasas,jigsos,FUTURE+THIRD+M+SINGULAR+MISSING
gavahh,tigbəhu,FUTURE+SECOND+M+PLURAL+COMPLETE
gavahh,tigbahh,FUTURE+SECOND+M+SINGULAR+COMPLETE
gavahh,jigbəhu,FUTURE+THIRD+M+PLURAL+COMPLETE
gavahh,jigbahh,FUTURE+THIRD+M+SINGULAR+COMPLETE
gaval,tigbəlu,FUTURE+SECOND+M+PLURAL+COMPLETE
gaval,tigbol,FUTURE+SECOND+M+SINGULAR+COMPLETE
gaval,tigbol,FUTURE+SECOND+M+SINGULAR+MISSING
